Education,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Membership,Age,TotalSpent,RelationshipStatus,Children,HouseHoldSize,Parent
Graduate,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,435,45,1169,Partner,1,3,1
Postgraduate,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,408,79,1120,Partner,0,2,0
Graduate,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,52,65,1097,Partner,0,2,0
Undergraduate,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,201,45,29,Partner,1,3,1
Graduate,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,278,60,187,Partner,2,4,1
Graduate,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,512,55,910,Partner,2,4,1
Graduate,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,557,46,145,Alone,1,2,1
Postgraduate,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,569,64,850,Partner,0,2,0
Graduate,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,239,45,969,Partner,1,3,1
Postgraduate,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,596,33,1820,Alone,0,1,0
Postgraduate,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,4,61,608,Partner,1,3,1
Graduate,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,543,33,730,Alone,0,1,0
Postgraduate,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,564,44,551,Partner,1,3,1
Graduate,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,292,62,114,Alone,2,3,1
Graduate,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,156,54,1724,Partner,0,2,0
Undergraduate,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,495,46,577,Partner,1,3,1
Undergraduate,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,353,57,81,Partner,2,4,1
Graduate,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,227,55,33,Partner,1,3,1
Postgraduate,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,374,71,660,Partner,1,3,1
Postgraduate,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,125,57,80,Alone,1,2,1
Postgraduate,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,298,39,30,Partner,2,4,1
Graduate,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,433,48,43,Alone,1,2,1
Undergraduate,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,496,59,559,Partner,0,2,0
Graduate,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,434,40,1923,Alone,0,1,0
Postgraduate,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,21,71,90,Partner,2,4,1
Postgraduate,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,50,68,661,Partner,2,4,1
Graduate,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,272,72,463,Partner,1,3,1
Postgraduate,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,476,66,632,Alone,2,3,1
Graduate,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,139,55,725,Partner,0,2,0
Postgraduate,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,319,60,279,Partner,2,4,1
Postgraduate,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,469,57,1482,Partner,0,2,0
Undergraduate,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,690,48,29,Alone,1,2,1
Postgraduate,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,357,65,106,Partner,3,5,1
Postgraduate,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,41,51,49,Alone,2,3,1
Postgraduate,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,336,59,38,Alone,2,3,1
Postgraduate,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,618,32,2077,Alone,0,1,0
Postgraduate,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,227,48,1053,Partner,1,3,1
Graduate,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,436,62,1385,Partner,0,2,0
Postgraduate,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,305,50,871,Alone,1,2,1
Graduate,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,467,36,312,Partner,1,3,1
Graduate,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,619,48,877,Partner,2,4,1
Graduate,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,609,49,68,Partner,1,3,1
Graduate,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,305,43,22,Partner,1,3,1
Undergraduate,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,676,51,211,Partner,3,5,1
Postgraduate,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,8,58,127,Partner,0,2,0
Postgraduate,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,66,71,459,Partner,2,4,1
Graduate,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,114,55,460,Partner,1,3,1
Undergraduate,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,562,52,429,Partner,1,3,1
Graduate,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,48,36,89,Alone,1,2,1
Postgraduate,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,628,72,1021,Partner,1,3,1
Graduate,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,495,75,1381,Partner,0,2,0
Graduate,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,356,66,306,Alone,1,2,1
Graduate,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,290,46,18,Alone,3,4,1
Graduate,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,255,47,162,Partner,1,3,1
Graduate,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,313,69,1231,Alone,0,1,0
Postgraduate,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,363,66,13,Alone,3,4,1
Postgraduate,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,601,79,1706,Partner,0,2,0
Graduate,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,175,40,121,Partner,1,3,1
Postgraduate,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,424,49,1293,Alone,0,1,0
Graduate,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,228,58,88,Partner,3,5,1
Graduate,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,223,71,421,Alone,0,1,0
Graduate,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,305,65,259,Alone,0,1,0
Graduate,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,239,36,1117,Alone,0,1,0
Graduate,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,124,67,89,Partner,2,4,1
Graduate,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,69,59,36,Partner,2,4,1
Graduate,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,351,42,57,Partner,1,3,1
Graduate,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,69,54,148,Partner,2,4,1
Postgraduate,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,150,65,93,Partner,2,4,1
Graduate,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,86,57,119,Alone,1,2,1
Postgraduate,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,655,49,1835,Partner,1,3,1
Postgraduate,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,560,76,1318,Partner,0,2,0
Postgraduate,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,37,54,45,Partner,2,4,1
Graduate,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,5,65,10,Partner,3,5,1
Undergraduate,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,210,73,978,Partner,0,2,0
Postgraduate,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,49,48,191,Partner,1,3,1
Undergraduate,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,50,36,57,Partner,1,3,1
Postgraduate,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,274,78,1033,Partner,0,2,0
Postgraduate,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,158,40,66,Partner,1,3,1
Undergraduate,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,14,63,43,Partner,0,2,0
Graduate,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,571,41,50,Partner,1,3,1
Postgraduate,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,113,54,39,Alone,1,2,1
Graduate,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,331,58,608,Partner,1,3,1
Graduate,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,467,48,1581,Partner,0,2,0
Postgraduate,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,491,60,68,Partner,2,4,1
Undergraduate,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,658,46,80,Partner,1,3,1
Postgraduate,66973.0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,408,35,1282,Partner,0,2,0
Graduate,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,395,36,91,Partner,1,3,1
Graduate,51148.0,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,496,51,315,Partner,2,4,1
Graduate,31353.0,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,182,47,31,Partner,2,4,1
Postgraduate,69661.0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,47,44,834,Partner,0,2,0
Graduate,80067.0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,283,70,1600,Partner,0,2,0
Graduate,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,528,70,1270,Partner,0,2,0
Postgraduate,46854.0,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,1,90,51,263,Alone,2,3,1
Graduate,69142.0,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0,0,72,535,Alone,1,2,1
Graduate,75922.0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0,202,56,1295,Alone,0,1,0
Graduate,63693.0,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0,258,46,1150,Alone,1,2,1
Postgraduate,40637.0,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,0,347,59,38,Alone,2,3,1
Postgraduate,18890.0,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,1,596,40,35,Alone,0,1,0
Graduate,29604.0,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,0,203,36,53,Partner,1,3,1
Postgraduate,48721.0,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,0,412,61,293,Alone,2,3,1
Graduate,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,21,58,65,Partner,1,3,1
Graduate,64497.0,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,1,657,70,1804,Alone,1,2,1
Graduate,46097.0,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,0,455,68,241,Partner,1,3,1
Graduate,77972.0,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,0,103,70,1101,Partner,0,2,0
Postgraduate,44377.0,70,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,0,632,56,264,Partner,2,4,1
Postgraduate,46014.0,21,410,0,59,19,9,44,10,7,1,8,7,0,0,0,0,0,0,0,524,50,541,Partner,2,4,1
Graduate,70951.0,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,0,421,39,1198,Partner,0,2,0
Graduate,41443.0,79,171,7,171,25,19,89,6,8,1,5,8,0,0,0,0,0,0,0,89,47,482,Partner,1,3,1
Undergraduate,52195.0,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,48,46,17,Alone,3,4,1
Postgraduate,83790.0,81,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0,0,0,226,76,1615,Partner,0,2,0
Postgraduate,44551.0,24,182,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0,0,0,302,70,285,Alone,1,2,1
Graduate,69508.0,48,824,32,162,42,32,43,2,11,4,11,6,0,0,0,0,0,0,0,592,44,1135,Partner,1,3,1
Undergraduate,45204.0,93,30,11,25,29,1,18,1,1,1,4,3,0,0,0,0,0,0,0,79,36,114,Partner,1,3,1
Graduate,72460.0,56,377,10,540,80,30,10,1,3,5,7,1,0,0,0,0,0,0,0,227,55,1047,Partner,0,2,0
Postgraduate,77622.0,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,76,54,714,Partner,2,4,1
Postgraduate,30732.0,44,155,1,25,0,1,3,4,4,1,4,8,0,0,0,0,0,0,0,540,44,185,Partner,1,3,1
